RateTypeDescription,StartDate,EndDate,ProfileReadValue
Usage,"1/1/2024 0:00",,1.222
Usage,"1/1/2024 0:30",,1.342
Usage,"1/1/2024 1:00",,1.361
Usage,"1/1/2024 1:30",,1.504
Usage,"1/1/2024 2:00",,1.347
Usage,"1/1/2024 2:30",,1.331
Usage,"1/1/2024 3:00",,1.451
Usage,"1/1/2024 3:30",,1.405
Usage,"1/1/2024 4:00",,1.587
Usage,"1/1/2024 4:30",,1.352
Usage,"1/1/2024 5:00",,0.086
Usage,"1/1/2024 5:30",,0.132
Usage,"1/1/2024 6:00",,0.545
Usage,"1/1/2024 6:30",,0.515
Usage,"1/1/2024 7:00",,0.644
Solar,"1/1/2024 7:00",,0.040
Usage,"1/1/2024 7:30",,0.618
Solar,"1/1/2024 7:30",,0.159
Usage,"1/1/2024 8:00",,0.667
Solar,"1/1/2024 8:00",,0.250
Usage,"1/1/2024 8:30",,0.570
Solar,"1/1/2024 8:30",,0.377
Usage,"1/1/2024 9:00",,0.122
Solar,"1/1/2024 9:00",,0.600
Usage,"1/1/2024 9:30",,0.131
Solar,"1/1/2024 9:30",,0.675
Usage,"1/1/2024 10:00",,0.087
Solar,"1/1/2024 10:00",,0.753
Usage,"1/1/2024 10:30",,0.147
Solar,"1/1/2024 10:30",,0.787
Usage,"1/1/2024 11:00",,0.131
Solar,"1/1/2024 11:00",,0.830
Usage,"1/1/2024 11:30",,0.117
Solar,"1/1/2024 11:30",,0.857
Usage,"1/1/2024 12:00",,0.132
Solar,"1/1/2024 12:00",,0.860
Usage,"1/1/2024 12:30",,0.133
Solar,"1/1/2024 12:30",,0.852
Usage,"1/1/2024 13:00",,0.108
Solar,"1/1/2024 13:00",,0.837
Usage,"1/1/2024 13:30",,0.105
Solar,"1/1/2024 13:30",,0.800
Usage,"1/1/2024 14:00",,0.142
Solar,"1/1/2024 14:00",,0.737
Usage,"1/1/2024 14:30",,0.085
Solar,"1/1/2024 14:30",,0.688
Usage,"1/1/2024 15:00",,0.135
Solar,"1/1/2024 15:00",,0.596
Usage,"1/1/2024 15:30",,0.141
Solar,"1/1/2024 15:30",,0.506
Usage,"1/1/2024 16:00",,0.129
Solar,"1/1/2024 16:00",,0.411
Usage,"1/1/2024 16:30",,0.132
Solar,"1/1/2024 16:30",,0.305
Usage,"1/1/2024 17:00",,0.816
Usage,"1/1/2024 17:30",,0.891
Usage,"1/1/2024 18:00",,0.820
Usage,"1/1/2024 18:30",,0.860
Usage,"1/1/2024 19:00",,0.754
Usage,"1/1/2024 19:30",,0.894
Usage,"1/1/2024 20:00",,0.702
Usage,"1/1/2024 20:30",,0.756
Usage,"1/1/2024 21:00",,0.083
Usage,"1/1/2024 21:30",,0.090
Usage,"1/1/2024 22:00",,0.141
Usage,"1/1/2024 22:30",,0.121
Usage,"1/1/2024 23:00",,1.208
Usage,"1/1/2024 23:30",,1.406
Usage,"2/1/2024 0:00",,1.570
Usage,"2/1/2024 0:30",,1.595
Usage,"2/1/2024 1:00",,1.323
Usage,"2/1/2024 1:30",,1.348
Usage,"2/1/2024 2:00",,1.501
Usage,"2/1/2024 2:30",,1.534
Usage,"2/1/2024 3:00",,1.228
Usage,"2/1/2024 3:30",,1.401
Usage,"2/1/2024 4:00",,1.455
Usage,"2/1/2024 4:30",,1.209
Usage,"2/1/2024 5:00",,0.136
Usage,"2/1/2024 5:30",,0.111
Usage,"2/1/2024 6:00",,0.534
Usage,"2/1/2024 6:30",,0.663
Usage,"2/1/2024 7:00",,0.641
Solar,"2/1/2024 7:00",,0.041
Usage,"2/1/2024 7:30",,0.670
Solar,"2/1/2024 7:30",,0.143
Usage,"2/1/2024 8:00",,0.608
Solar,"2/1/2024 8:00",,0.268
Usage,"2/1/2024 8:30",,0.625
Solar,"2/1/2024 8:30",,0.360
Usage,"2/1/2024 9:00",,0.120
Solar,"2/1/2024 9:00",,0.600
Usage,"2/1/2024 9:30",,0.091
Solar,"2/1/2024 9:30",,0.687
Usage,"2/1/2024 10:00",,0.103
Solar,"2/1/2024 10:00",,0.749
Usage,"2/1/2024 10:30",,0.142
Solar,"2/1/2024 10:30",,0.789
Usage,"2/1/2024 11:00",,0.147
Solar,"2/1/2024 11:00",,0.825
Usage,"2/1/2024 11:30",,0.128
Solar,"2/1/2024 11:30",,0.854
Usage,"2/1/2024 12:00",,0.120
Solar,"2/1/2024 12:00",,0.864
Usage,"2/1/2024 12:30",,0.080
Solar,"2/1/2024 12:30",,0.868
Usage,"2/1/2024 13:00",,0.128
Solar,"2/1/2024 13:00",,0.831
Usage,"2/1/2024 13:30",,0.119
Solar,"2/1/2024 13:30",,0.796
Usage,"2/1/2024 14:00",,0.144
Solar,"2/1/2024 14:00",,0.736
Usage,"2/1/2024 14:30",,0.092
Solar,"2/1/2024 14:30",,0.686
Usage,"2/1/2024 15:00",,0.097
Solar,"2/1/2024 15:00",,0.607
Usage,"2/1/2024 15:30",,0.131
Solar,"2/1/2024 15:30",,0.509
Usage,"2/1/2024 16:00",,0.126
Solar,"2/1/2024 16:00",,0.412
Usage,"2/1/2024 16:30",,0.088
Solar,"2/1/2024 16:30",,0.318
Usage,"2/1/2024 17:00",,0.870
Usage,"2/1/2024 17:30",,0.754
Usage,"2/1/2024 18:00",,0.813
Usage,"2/1/2024 18:30",,0.847
Usage,"2/1/2024 19:00",,0.778
Usage,"2/1/2024 19:30",,0.826
Usage,"2/1/2024 20:00",,0.748
Usage,"2/1/2024 20:30",,0.713
Usage,"2/1/2024 21:00",,0.147
Usage,"2/1/2024 21:30",,0.089
Usage,"2/1/2024 22:00",,0.109
Usage,"2/1/2024 22:30",,0.116
Usage,"2/1/2024 23:00",,1.405
Usage,"2/1/2024 23:30",,1.353
Usage,"3/1/2024 0:00",,1.530
Usage,"3/1/2024 0:30",,1.246
Usage,"3/1/2024 1:00",,1.298
Usage,"3/1/2024 1:30",,1.311
Usage,"3/1/2024 2:00",,1.454
Usage,"3/1/2024 2:30",,1.544
Usage,"3/1/2024 3:00",,1.218
Usage,"3/1/2024 3:30",,1.560
Usage,"3/1/2024 4:00",,1.333
Usage,"3/1/2024 4:30",,1.279
Usage,"3/1/2024 5:00",,0.147
Usage,"3/1/2024 5:30",,0.080
Usage,"3/1/2024 6:00",,0.643
Usage,"3/1/2024 6:30",,0.651
Usage,"3/1/2024 7:00",,0.654
Solar,"3/1/2024 7:00",,0.037
Usage,"3/1/2024 7:30",,0.653
Solar,"3/1/2024 7:30",,0.149
Usage,"3/1/2024 8:00",,0.682
Solar,"3/1/2024 8:00",,0.245
Usage,"3/1/2024 8:30",,0.621
Solar,"3/1/2024 8:30",,0.362
Usage,"3/1/2024 9:00",,0.130
Solar,"3/1/2024 9:00",,0.598
Usage,"3/1/2024 9:30",,0.144
Solar,"3/1/2024 9:30",,0.671
Usage,"3/1/2024 10:00",,0.134
Solar,"3/1/2024 10:00",,0.739
Usage,"3/1/2024 10:30",,0.130
Solar,"3/1/2024 10:30",,0.792
Usage,"3/1/2024 11:00",,0.124
Solar,"3/1/2024 11:00",,0.832
Usage,"3/1/2024 11:30",,0.140
Solar,"3/1/2024 11:30",,0.850
Usage,"3/1/2024 12:00",,0.139
Solar,"3/1/2024 12:00",,0.858
Usage,"3/1/2024 12:30",,0.098
Solar,"3/1/2024 12:30",,0.863
Usage,"3/1/2024 13:00",,0.102
Solar,"3/1/2024 13:00",,0.839
Usage,"3/1/2024 13:30",,0.124
Solar,"3/1/2024 13:30",,0.794
Usage,"3/1/2024 14:00",,0.128
Solar,"3/1/2024 14:00",,0.741
Usage,"3/1/2024 14:30",,0.114
Solar,"3/1/2024 14:30",,0.680
Usage,"3/1/2024 15:00",,0.147
Solar,"3/1/2024 15:00",,0.592
Usage,"3/1/2024 15:30",,0.083
Solar,"3/1/2024 15:30",,0.523
Usage,"3/1/2024 16:00",,0.124
Solar,"3/1/2024 16:00",,0.413
Usage,"3/1/2024 16:30",,0.139
Solar,"3/1/2024 16:30",,0.303
Usage,"3/1/2024 17:00",,0.715
Solar,"3/1/2024 17:00",,0.018
Usage,"3/1/2024 17:30",,0.848
Usage,"3/1/2024 18:00",,0.792
Usage,"3/1/2024 18:30",,0.685
Usage,"3/1/2024 19:00",,0.724
Usage,"3/1/2024 19:30",,0.674
Usage,"3/1/2024 20:00",,0.863
Usage,"3/1/2024 20:30",,0.658
Usage,"3/1/2024 21:00",,0.145
Usage,"3/1/2024 21:30",,0.085
Usage,"3/1/2024 22:00",,0.102
Usage,"3/1/2024 22:30",,0.138
Usage,"3/1/2024 23:00",,1.408
Usage,"3/1/2024 23:30",,1.530
Usage,"4/1/2024 0:00",,1.424
Usage,"4/1/2024 0:30",,1.573
Usage,"4/1/2024 1:00",,1.368
Usage,"4/1/2024 1:30",,1.597
Usage,"4/1/2024 2:00",,1.403
Usage,"4/1/2024 2:30",,1.460
Usage,"4/1/2024 3:00",,1.306
Usage,"4/1/2024 3:30",,1.527
Usage,"4/1/2024 4:00",,1.334
Usage,"4/1/2024 4:30",,1.600
Usage,"4/1/2024 5:00",,0.103
Usage,"4/1/2024 5:30",,0.091
Usage,"4/1/2024 6:00",,0.566
Usage,"4/1/2024 6:30",,0.542
Usage,"4/1/2024 7:00",,0.650
Solar,"4/1/2024 7:00",,0.038
Usage,"4/1/2024 7:30",,0.573
Solar,"4/1/2024 7:30",,0.172
Usage,"4/1/2024 8:00",,0.502
Solar,"4/1/2024 8:00",,0.299
Usage,"4/1/2024 8:30",,0.506
Solar,"4/1/2024 8:30",,0.396
Usage,"4/1/2024 9:00",,0.135
Solar,"4/1/2024 9:00",,0.596
Usage,"4/1/2024 9:30",,0.088
Solar,"4/1/2024 9:30",,0.688
Usage,"4/1/2024 10:00",,0.135
Solar,"4/1/2024 10:00",,0.739
Usage,"4/1/2024 10:30",,0.128
Solar,"4/1/2024 10:30",,0.793
Usage,"4/1/2024 11:00",,0.081
Solar,"4/1/2024 11:00",,0.845
Usage,"4/1/2024 11:30",,0.147
Solar,"4/1/2024 11:30",,0.848
Usage,"4/1/2024 12:00",,0.124
Solar,"4/1/2024 12:00",,0.863
Usage,"4/1/2024 12:30",,0.086
Solar,"4/1/2024 12:30",,0.866
Usage,"4/1/2024 13:00",,0.094
Solar,"4/1/2024 13:00",,0.841
Usage,"4/1/2024 13:30",,0.139
Solar,"4/1/2024 13:30",,0.790
Usage,"4/1/2024 14:00",,0.142
Solar,"4/1/2024 14:00",,0.737
Usage,"4/1/2024 14:30",,0.131
Solar,"4/1/2024 14:30",,0.675
Usage,"4/1/2024 15:00",,0.113
Solar,"4/1/2024 15:00",,0.602
Usage,"4/1/2024 15:30",,0.087
Solar,"4/1/2024 15:30",,0.522
Usage,"4/1/2024 16:00",,0.093
Solar,"4/1/2024 16:00",,0.422
Usage,"4/1/2024 16:30",,0.095
Solar,"4/1/2024 16:30",,0.316
Usage,"4/1/2024 17:00",,0.650
Solar,"4/1/2024 17:00",,0.038
Usage,"4/1/2024 17:30",,0.784
Usage,"4/1/2024 18:00",,0.714
Usage,"4/1/2024 18:30",,0.789
Usage,"4/1/2024 19:00",,0.689
Usage,"4/1/2024 19:30",,0.867
Usage,"4/1/2024 20:00",,0.839
Usage,"4/1/2024 20:30",,0.664
